date,our,ewtf,td3,sac,ppo,sse
2021-05-26,1658902.7773400005,1104181.5746800003,1026747.5627899998,999762.6230700001,1242115.2737100006,1416129.623623736
2021-05-27,1674368.0173400005,1110673.2952300005,1018297.4227899999,997042.2630700002,1238945.2584800005,1417977.9759358566
2021-05-28,1672597.2673400005,1111579.2407300002,1020006.8827899998,993317.4330699999,1244344.2885400006,1415872.1255524983
2021-05-31,1637064.2473400005,1088937.3502600002,1022072.7027899999,991060.62307,1231843.0741300003,1403059.5455371386
2021-06-01,1637338.9273400004,1084532.7835500003,1015672.2627899998,990092.77351,1221461.3799900005,1402969.6025770232
2021-06-02,1593288.8173400003,1058987.3099600002,994856.1427899998,967095.3161600002,1200187.6513900002,1369860.690635628
2021-06-03,1588894.8273400003,1056136.4665400002,978535.2627899998,959510.37036,1188308.9233700002,1359969.9727810882
2021-06-04,1566688.8373400006,1042270.1347800004,977309.3627899999,961643.5596200002,1177635.2657700004,1352858.4933933644
2021-06-07,1555886.2673400005,1035219.0204200004,979032.2027899998,955883.1069200003,1164407.2834000003,1342127.831599439
2021-06-08,1558731.7473400005,1036565.5077400004,985047.2527899998,958582.1379000001,1170993.5861400003,1346288.3305299561
2021-06-09,1544940.8173400003,1022102.2010100004,973357.5027899997,967649.8451900001,1159868.1890200004,1349123.767108948
2021-06-10,1511797.0173400005,1024673.3850200004,937386.9127899997,914840.6032300001,1170081.2117000003,1295759.4027715502
2021-06-11,1500333.5473400005,1016358.7543600004,938047.6627899999,901736.95323,1170660.7091600006,1286265.2493337567
2021-06-15,1444808.0473400005,975351.1043600003,911191.8227899997,889288.6568500001,1122857.5450900006,1251772.25902901
2021-06-16,1411794.8573400003,953273.1743600004,893746.7927899999,884653.7363500001,1105400.2329300004,1237081.448971195
2021-06-17,1397513.6273400006,943570.0343600004,893200.9127899997,870683.5364900001,1103026.09605,1224547.171520236
2021-06-18,1402052.2173400004,945838.7243600003,907066.8427899998,872928.7802,1102284.5537700006,1221368.0011466653
2021-06-21,1374217.4673400004,931409.4643600004,905332.1427899998,858287.1902000002,1092505.1726800003,1197683.8143921052
2021-06-22,1394419.5973400006,946205.8643600004,924133.97279,864126.6702,1118304.2029400005,1211870.7300326629
2021-06-23,1436040.2073400004,974561.7443600002,933927.90279,870468.5575499999,1140549.3631200003,1232937.0380493195
2021-06-24,1416727.2573400005,968093.1443600004,925495.29279,857285.9445299999,1135900.4529000004,1213946.193065537
2021-06-25,1427619.8573400003,975498.0743600004,923961.1827899999,864388.7175400001,1137785.6122400004,1222251.9322997408
2021-06-28,1468768.8873400004,1005265.9243600004,946253.5827899998,860119.69734,1183091.8106600007,1239295.1589603173
2021-06-29,1442609.8773400006,985048.8943600004,931157.4527899999,848881.2826400001,1163897.6697000004,1221867.0191985704
